neighborhood	logFC	logCPM	F	PValue	FDR	Nhood	SpatialFDR	finalIdent	finalIdent_fraction
480	0.795584388	8.710935274	0.551995364	0.467167243	0.995803853	480	0.99284724	CD16 NK	0.996539792
1971	1.082126761	9.173292678	0.551903374	0.467286995	0.995803853	1971	0.99284724	CD4 Naive	0.93977591
48	-0.681783925	8.646760843	0.550791306	0.467493578	0.995803853	48	0.99284724	CD4 Activated	0.880597015
920	-0.961486064	9.532834621	0.550732839	0.467516861	0.995803853	920	0.99284724	CD4 Naive	0.866576819
1764	-0.874691932	8.458790055	0.551003017	0.467644975	0.995803853	1764	0.99284724	Activated B Cells	0.942105263
167	-1.075125251	9.181497582	0.550898123	0.46768671	0.995803853	167	0.99284724	CD4 Naive	0.86535009
2127	-1.031798533	7.738712793	0.550023191	0.468035072	0.995803853	2127	0.99284724	CD14 Monocytes	0.801470588
633	-0.779118041	8.839231409	0.549227885	0.46811685	0.995803853	633	0.99284724	CD8 Activated	0.947572816
1022	0.710486055	8.39367449	0.547682122	0.468734446	0.995803853	1022	0.99284724	Mixed	0.531165312
576	0.938610048	9.108959169	0.547870217	0.468894145	0.995803853	576	0.99284724	CD14 Monocytes	0.993842365
344	-1.154945465	9.650643653	0.547135058	0.46918809	0.995803853	344	0.99284724	Mixed	0.597243492
1857	1.023375261	8.708763825	0.5469142	0.469276458	0.995803853	1857	0.99284724	CD14 Monocytes	1
1555	0.805368249	8.720802132	0.546007357	0.469639588	0.995803853	1555	0.99284724	CD4 Activated	0.754507628
1863	0.693025195	8.530954746	0.542363196	0.470870017	0.995803853	1863	0.99284724	CD14 Monocytes	0.881453155
2041	-0.944614247	9.189993896	0.542290482	0.470901114	0.995803853	2041	0.99284724	Activated B Cells	0.959770115
30	-1.01992963	8.915246486	0.542677546	0.470976999	0.995803853	30	0.99284724	CD16 NK	0.903930131
2	-0.747583092	8.753889855	0.541684043	0.471143872	0.995803853	2	0.99284724	CD4 Naive	0.98757764
2178	-0.850182644	7.949306914	0.538614883	0.472384789	0.995803853	2178	0.99284724	CD16 NK	1
2181	0.924047341	8.220871988	0.5356262	0.473830357	0.995803853	2181	0.99284724	CD14 Monocytes	1
1895	-1.129056072	7.89584235	0.53449056	0.474292618	0.995803853	1895	0.99284724	CD14 Monocytes	0.994197292
1113	0.997907396	8.725288342	0.533572445	0.474666893	0.995803853	1113	0.99284724	CD14 Monocytes	0.993318486
424	-0.717452965	8.38281766	0.532760843	0.474766969	0.995803853	424	0.99284724	CD4 Activated	0.988372093
1591	0.870825101	8.224320661	0.532718923	0.475015283	0.995803853	1591	0.99284724	CD16 Monocytes	1
1553	-0.844934578	9.191993037	0.53197016	0.475090272	0.995803853	1553	0.99284724	CD8 Activated	0.880877743
553	-1.085372929	9.185095763	0.531816542	0.475384085	0.995803853	553	0.99284724	CD4 Naive	0.811111111
559	0.77865188	8.800770843	0.530615341	0.475665149	0.995803853	559	0.99284724	CD14 Monocytes	0.914772727
1744	-0.993137119	9.498731142	0.529616526	0.476240975	0.995803853	1744	0.99284724	CD4 Naive	0.880573248
745	-0.807548702	9.134652402	0.528115681	0.476671666	0.995803853	745	0.99284724	CD4 Activated	0.883084577
902	-0.721025182	8.503166007	0.528036276	0.476704337	0.995803853	902	0.99284724	Mixed	0.45
123	1.032443956	9.075277689	0.526261182	0.477665263	0.995803853	123	0.99284724	CD14 Monocytes	0.995356037
1921	0.641066394	8.724154907	0.524898573	0.477998389	0.995803853	1921	0.99284724	CD14 Monocytes	0.928994083
1304	-0.761482845	8.30865456	0.522710829	0.478904184	0.995803853	1304	0.99284724	cDC	0.96875
475	-0.787780815	8.896955917	0.522559921	0.478966771	0.995803853	475	0.99284724	CD4 Activated	0.723856209
358	-0.816466283	8.722535995	0.522481476	0.4790962	0.995803853	358	0.99284724	CD56 NK	0.919220056
1926	-0.742842821	8.269774761	0.52203535	0.479184442	0.995803853	1926	0.99284724	CD4 Activated	0.72513089
665	-0.969649577	8.189131046	0.522431086	0.479248826	0.995803853	665	0.99284724	Mixed	0.620065789
1124	-1.108598339	7.572425298	0.521589657	0.479597912	0.995803853	1124	0.99284724	CD8 Activated	0.976109215
1140	-1.02435552	9.089209359	0.520396725	0.480093569	0.995803853	1140	0.99284724	CD4 Activated	0.795604396
541	0.710936284	8.929112918	0.51971847	0.480147841	0.995803853	541	0.99284724	CD4 Activated	0.815750371
1786	0.829968143	7.763467147	0.51941065	0.480276085	0.995803853	1786	0.99284724	Mixed	0.516233766
721	1.101882995	8.115995147	0.519783283	0.48034879	0.995803853	721	0.99284724	CD14 Monocytes	0.996825397
939	-0.760447316	9.101288988	0.517962139	0.48088035	0.995803853	939	0.99284724	CD4 Activated	0.968490879
1307	1.142863093	9.531223936	0.517403262	0.481341183	0.995803853	1307	0.99284724	CD8 Naive	0.976821192
2219	-0.923900689	8.693988119	0.516977171	0.481519218	0.995803853	2219	0.99284724	CD16 NK	0.970430108
816	-0.951829294	9.023014513	0.516401199	0.481760057	0.995803853	816	0.99284724	Mixed	0.651851852
1521	-0.84395715	9.250721012	0.515605947	0.481866035	0.995803853	1521	0.99284724	Mixed	0.489461358
1670	-0.850857884	8.695335669	0.514953877	0.482366154	0.995803853	1670	0.99284724	CD4 Naive	0.713389121
91	-0.791456772	8.100808763	0.514069117	0.482510806	0.995803853	91	0.99284724	cDC	0.949044586
321	-1.035473428	8.014711948	0.514332533	0.482626754	0.995803853	321	0.99284724	CD16 NK	0.946341463
1959	0.909051273	8.230511823	0.511093689	0.483989078	0.995803853	1959	0.99284724	CD14 Monocytes	1
1361	0.896780614	7.797281938	0.510807523	0.484095116	0.995803853	1361	0.99284724	Mixed	0.479217604
