neighborhood	logFC	logCPM	F	PValue	FDR	Nhood	SpatialFDR	finalIdent	finalIdent_fraction
166	-0.360332277	9.317829074	0.081569374	0.780036999	0.987779573	166	0.984567966	Intermediate Monocytes	0.798469388
849	0.438454441	9.56804845	0.081655836	0.780050887	0.987779573	849	0.984567966	CD14 Monocytes	0.897338403
243	-0.334963586	9.675335263	0.081160957	0.780546484	0.987779573	243	0.984567966	Mixed	0.469879518
643	-0.310475889	9.907965969	0.080505054	0.781409572	0.987779573	643	0.984567966	Mixed	0.494880546
409	-0.288305172	10.55584076	0.079878823	0.782262929	0.987779573	409	0.984567966	Mixed	0.615384615
582	0.427784153	8.935421224	0.079570177	0.782797388	0.987779573	582	0.984567966	CD14 Monocytes	0.99132948
885	0.55035901	9.447076604	0.079464704	0.782937313	0.987779573	885	0.984567966	CD14 Monocytes	0.993684211
385	-0.371705011	9.60161124	0.077678874	0.785198227	0.987779573	385	0.984567966	CD8 Activated	0.947126437
1034	0.331969654	9.57425024	0.077582536	0.785302447	0.987779573	1034	0.984567966	CD4 Naive	0.727272727
421	0.340163907	10.35863028	0.076995905	0.786241768	0.987779573	421	0.984567966	CD4 Naive	0.701007839
512	-0.410254927	9.758515568	0.076488687	0.786927751	0.987779573	512	0.984567966	CD8 Activated	0.955319149
503	0.295107264	10.5921395	0.076158223	0.787253583	0.987779573	503	0.984567966	CD8 Activated	0.963842975
697	0.272395876	8.813004903	0.07612816	0.787269351	0.987779573	697	0.984567966	Memory B Cells	0.980066445
460	0.297197798	10.137774	0.075096209	0.788702234	0.987779573	460	0.984567966	CD8 Activated	0.778645833
1039	0.313148153	9.646375425	0.074991853	0.788820289	0.987779573	1039	0.984567966	Mixed	0.586642599
449	0.39338043	8.878990968	0.075049628	0.788887502	0.987779573	449	0.984567966	CD14 Monocytes	0.977917981
876	-0.349775378	9.655462502	0.073249861	0.791247358	0.987779573	876	0.984567966	CD8 Activated	0.919148936
90	-0.26926903	10.26096254	0.072587229	0.792144738	0.987779573	90	0.984567966	Mixed	0.640156454
395	-0.285915199	9.620716024	0.071751504	0.793314028	0.987779573	395	0.984567966	cDC	0.989959839
604	-0.290103571	9.449681305	0.070671076	0.794836616	0.987779573	604	0.984567966	CD4 Activated	0.981651376
158	-0.310027582	9.471582604	0.070434157	0.795172164	0.987779573	158	0.984567966	CD16 NK	0.965065502
558	-0.287867912	9.597193657	0.070392664	0.795230992	0.987779573	558	0.984567966	Mixed	0.515991471
792	-0.273856687	10.01196793	0.070020615	0.795759321	0.987779573	792	0.984567966	CD16 NK	0.968656716
254	0.296215581	9.873581347	0.068659001	0.797705858	0.987779573	254	0.984567966	CD8 Activated	0.789230769
583	-0.266836307	8.687772031	0.068488514	0.797974761	0.987779573	583	0.984567966	CD14 Monocytes	0.926199262
47	0.396170815	10.10966539	0.0682417	0.798445753	0.987779573	47	0.984567966	CD8 Activated	0.865761689
581	0.253145667	10.11053417	0.068125681	0.79847393	0.987779573	581	0.984567966	Mixed	0.609032258
181	0.376285291	9.34083703	0.067660516	0.799285041	0.987779573	181	0.984567966	CD14 Monocytes	0.904328018
1022	-0.267021285	9.897613603	0.06753879	0.79932289	0.987779573	1022	0.984567966	CD16 NK	0.996899225
1159	-0.395849821	9.661820031	0.064650976	0.803694255	0.987779573	1159	0.984567966	CD8 Activated	0.988938053
215	0.301202355	9.522901974	0.064339709	0.804021578	0.987779573	215	0.984567966	CD8 Activated	0.892276423
906	0.354094359	9.418546938	0.06302689	0.806008616	0.987779573	906	0.984567966	Activated B Cells	0.970355731
793	-0.282283473	9.811729793	0.062338623	0.807024483	0.987779573	793	0.984567966	Mixed	0.639556377
