neighborhood	logFC	logCPM	F	PValue	FDR	Nhood	SpatialFDR	finalIdent	finalIdent_fraction
2276	-2.534678858	7.530274142	4.324506865	0.051676401	0.685330762	2276	0.670959263	CD4 Activated	0.968421053
2464	1.803420036	8.590947094	4.294998033	0.05201851	0.685330762	2464	0.670959263	CD8 Activated	0.964285714
948	-2.7880988	8.897168988	4.300068829	0.052276752	0.685330762	948	0.670959263	CD4 Activated	0.959477124
1483	-2.921660605	8.310770259	4.291225931	0.052495962	0.685330762	1483	0.670959263	CD4 Activated	0.922465209
1164	1.965340218	8.302675483	4.271447914	0.052605028	0.685330762	1164	0.670959263	CD8 Activated	1
2411	-2.096027978	8.545837834	4.279600557	0.052613284	0.685330762	2411	0.670959263	Activated B Cells	0.896073903
961	-2.65971126	9.084954055	4.286310059	0.052618281	0.685330762	961	0.670959263	CD4 Activated	0.966551326
1935	-3.164445391	8.606833547	4.276950083	0.052852087	0.685330762	1935	0.670959263	CD4 Activated	0.981102362
2175	-2.491494651	8.094594888	4.271954771	0.052977356	0.685330762	2175	0.670959263	CD14 Monocytes	0.904290429
2557	-2.706388751	8.405285847	4.259209724	0.053298519	0.685330762	2557	0.670959263	CD14 Monocytes	0.988950276
1381	-2.610956083	8.550343314	4.25407914	0.053428436	0.685330762	1381	0.670959263	CD14 Monocytes	0.929951691
1719	1.974035685	7.81887626	4.232486609	0.053592114	0.685330762	1719	0.670959263	CD8 Activated	0.95625
1875	-1.857432463	8.887615925	4.22752144	0.053719429	0.685330762	1875	0.670959263	Activated B Cells	0.983136594
835	-2.0903501	7.963868588	4.235402174	0.053736142	0.685330762	835	0.670959263	CD4 Activated	0.911290323
1720	-3.035331922	8.442407933	4.237134051	0.053860121	0.685330762	1720	0.670959263	CD4 Activated	0.973357016
2381	-1.996971558	9.009138974	4.221966094	0.053862288	0.685330762	2381	0.670959263	CD4 Activated	0.983668342
347	-2.644853251	9.045413011	4.227846364	0.054098432	0.685330762	347	0.670959263	CD16 Monocytes	0.992970123
1887	-3.076434556	8.543739767	4.222037915	0.054248087	0.685330762	1887	0.670959263	CD4 Activated	0.978405316
502	-2.043055678	8.28362259	4.185602111	0.054808264	0.685330762	502	0.670959263	CD4 Activated	0.97639485
1081	-2.974546633	8.938544894	4.184764303	0.055219868	0.685330762	1081	0.670959263	CD4 Activated	0.967171717
351	-2.88950619	9.161757248	4.156749489	0.055963469	0.685330762	351	0.670959263	CD16 Monocytes	0.98858075
1998	-2.966412662	8.755957108	4.155843851	0.055987699	0.685330762	1998	0.670959263	CD4 Activated	0.958393113
248	2.231641232	8.959115571	4.150202188	0.056138914	0.685330762	248	0.670959263	CD4 Naive	0.940199336
1086	-2.020961021	7.894868767	4.131686246	0.056396823	0.685330762	1086	0.670959263	CD4 Activated	0.956395349
471	-2.505739658	7.791106776	4.118824542	0.056988578	0.685330762	471	0.670959263	CD4 Naive	0.93982808
529	-2.564479959	8.660052385	4.108815706	0.057262717	0.685330762	529	0.670959263	CD4 Activated	0.946070878
899	-1.87517825	9.424341884	4.0928444	0.057309029	0.685330762	899	0.670959263	Activated B Cells	0.991351351
429	-2.527078037	8.851884307	4.096772362	0.057594597	0.685330762	429	0.670959263	CD16 Monocytes	0.996007984
