Cluster	cellType	Time	Pathway	nlp	GeneRatio
CD8-Activated:NLR:pre:Ribosome	CD8-Activated	pre	Ribosome	-13.1003616014411	-0.115671641791045
CD8-Activated:NLR:pre:T cell receptor signaling pathway	CD8-Activated	pre	T cell receptor signaling pathway	-3.28082528035682	-0.0522388059701493
CD8-Activated:NLR:pre:TNF signaling pathway	CD8-Activated	pre	TNF signaling pathway	-3.02771100215064	-0.0522388059701493
CD8-Activated:NLR:pre:Th1 and Th2 cell differentiation	CD8-Activated	pre	Th1 and Th2 cell differentiation	-1.25688194406767	-0.0335820895522388
CD8-Activated:NLR:pre:Toll-like receptor signaling pathway	CD8-Activated	pre	Toll-like receptor signaling pathway	-1.06933870017276	-0.0335820895522388
CD8-Naive:NLR:post:Antigen processing and presentation	CD8-Naive	post	Antigen processing and presentation	4.74775809382233	0.0714285714285714
CD8-Naive:NLR:post:Apoptosis	CD8-Naive	post	Apoptosis	3.79019120465266	0.0779220779220779
CD8-Naive:NLR:post:Cell adhesion molecules	CD8-Naive	post	Cell adhesion molecules	2.64097296190341	0.0714285714285714
CD8-Naive:NLR:post:Cellular senescence	CD8-Naive	post	Cellular senescence	1.06400227305699	0.0454545454545455
CD8-Naive:NLR:post:Graft-versus-host disease	CD8-Naive	post	Graft-versus-host disease	4.55834107316462	0.051948051948052
CD8-Naive:NLR:post:Leukocyte transendothelial migration	CD8-Naive	post	Leukocyte transendothelial migration	1.57000307275428	0.0454545454545455
CD8-Naive:NLR:post:Mitophagy - animal	CD8-Naive	post	Mitophagy - animal	1.88865276959859	0.038961038961039
CD8-Naive:NLR:post:NF-kappa B signaling pathway	CD8-Naive	post	NF-kappa B signaling pathway	1.74109923032518	0.0454545454545455
CD8-Naive:NLR:post:NOD-like receptor signaling pathway	CD8-Naive	post	NOD-like receptor signaling pathway	3.2047551269999	0.0844155844155844
CD8-Naive:NLR:post:Natural killer cell mediated cytotoxicity	CD8-Naive	post	Natural killer cell mediated cytotoxicity	2.24001344390174	0.0584415584415584
CD8-Naive:NLR:post:Oxidative phosphorylation	CD8-Naive	post	Oxidative phosphorylation	-0.767244623447318	-0.0608695652173913
CD8-Naive:NLR:post:Ribosome	CD8-Naive	post	Ribosome	-36.3213309685904	-0.339130434782609
CD8-Naive:NLR:post:TNF signaling pathway	CD8-Naive	post	TNF signaling pathway	1.58828669814105	0.0454545454545455
CD8-Naive:NLR:post:Th1 and Th2 cell differentiation	CD8-Naive	post	Th1 and Th2 cell differentiation	1.06400227305699	0.0324675324675325
CD8-Naive:NLR:pre:Antigen processing and presentation	CD8-Naive	pre	Antigen processing and presentation	0.927258082622442	0.0344827586206897
CD8-Naive:NLR:pre:Leukocyte transendothelial migration	CD8-Naive	pre	Leukocyte transendothelial migration	1.37092185020977	0.0517241379310345
CD8-Naive:NLR:pre:Mitophagy - animal	CD8-Naive	pre	Mitophagy - animal	1.46700198582411	0.0431034482758621
CD8-Naive:NLR:pre:NOD-like receptor signaling pathway	CD8-Naive	pre	NOD-like receptor signaling pathway	2.69727460497762	0.0948275862068965
CD8-Naive:NLR:pre:Natural killer cell mediated cytotoxicity	CD8-Naive	pre	Natural killer cell mediated cytotoxicity	1.55058378683555	0.0603448275862069
CD8-Naive:NLR:pre:Oxidative phosphorylation	CD8-Naive	pre	Oxidative phosphorylation	1.09308165049646	0.0517241379310345
CD8-Naive:NLR:pre:PD-L1 expression and PD-1 checkpoint pathway in cancer	CD8-Naive	pre	PD-L1 expression and PD-1 checkpoint pathway in cancer	0.81284980996906	0.0344827586206897
CD8-Naive:NLR:pre:Ribosome	CD8-Naive	pre	Ribosome	-16.877969070898	-0.265060240963855
