""	baseMean	log2FoldChange	lfcSE	pvalue	padj
FCMR	8.03764113002861	0.00177038499001767	0.0528775649106752	0.735248094662655	0.999336306249414
CD55	2.9185147840171	-0.00162492138607297	0.0528828944205868	0.747329102874826	0.999336306249414
CD46	0.805562706982057	-0.000614156422444852	0.05301068379473	0.841827528816464	0.999336306249414
TRAF3IP3	3.28648601339486	-0.00151276870252552	0.0529020891864324	0.753873875954209	0.999336306249414
RCOR3	0.713010031479599	0.000554649460443896	0.0530461576557863	0.987160640884567	0.999336306249414
TRAF5	0.906564886418649	0.00089057673011794	0.0530098583034396	0.783932124150962	0.999336306249414
LPGAT1	0.87408292647981	-0.00225719641481484	0.0530810761021972	0.444926754517303	0.999336306249414
PPP2R5A	0.883421604667342	0.00175347589801914	0.0530684866292283	0.507790809028294	0.999336306249414
NENF	0.756001471924362	-0.00118769951503008	0.0530493003452537	0.581752710265617	0.999336306249414
NSL1	0.790461055075283	-0.00115163842093108	0.0530319790572187	0.687451343460405	0.999336306249414
EPRS	0.796851076711033	0.002610627240246	0.0531321041899984	0.313150695858329	0.999336306249414
MIA3	1.02778666648236	-0.00308957668389507	0.0531277793254414	0.314790000070098	0.999336306249414
AIDA	0.840238099380189	0.00325480503447203	0.0531829912108153	0.181923222784194	0.999336306249414
DEGS1	0.835900608810984	-0.00300904748527596	0.0531665556547881	0.213193507852729	0.999336306249414
CNIH4	0.887928783803619	0.00518581144644091	0.0534099950871273	0.0425004671549536	0.999336306249414
LBR	1.55575598667011	-0.00181559294570255	0.0530111089824094	0.619747929490691	0.999336306249414
SRP9	2.07051990963126	-0.00471580232111989	0.0532460464525414	0.252943029297828	0.999336306249414
H3F3A	26.3381411856449	0.0134040416234889	0.0541198649847713	0.264602957514776	0.999336306249414
ACBD3	0.775394280576575	-0.000993046223813911	0.0530402968157706	0.705457205834933	0.999336306249414
PARP1	3.56958501407602	0.00100669693077097	0.0527616312259419	0.868680950667543	0.999336306249414
ARF1	3.73347468000492	-0.00523914970313129	0.0531900392731844	0.336058310956155	0.999336306249414
GUK1	2.40575302579248	0.00143036494301584	0.0529537732107656	0.734676146766855	0.999336306249414
RNF187	1.04459298555684	-0.00116655917372153	0.0530172331330205	0.702008554588788	0.999336306249414
RAB4A	1.08689059169214	-0.000789155858384016	0.053026147629401	0.775882651032176	0.999336306249414
C1orf131	0.706230487961122	-0.00126628003360208	0.05304769169217	0.637098660466241	0.999336306249414
GNPAT	0.75030049079995	-0.0032237895758783	0.0531654036694055	0.250246908553018	0.999336306249414
IRF2BP2	0.974351101333891	0.00153802120782001	0.0530181212466322	0.651953410140226	0.999336306249414
TOMM20	2.25653584720567	-0.00211536099192232	0.0529682372214728	0.633027403886174	0.999336306249414
ARID4B	2.66169770628164	-0.00638384381956801	0.0534815272867452	0.150053276179669	0.999336306249414
LYST	2.68053548025419	-0.00410415858361109	0.0531727480002315	0.30873555016999	0.999336306249414
KMO	1.35086006197137	-0.00497926728928777	0.0533163571243412	0.176733845377393	0.999336306249414
SDCCAG8	0.907060101613421	0.00226921021116368	0.0530700943336036	0.473405532337067	0.999336306249414
ADSS	1.04095012845143	-0.00223651815334548	0.0530876021068836	0.432520499880788	0.999336306249414
COX20	0.875385074431887	0.000263552445436084	0.0530241844266344	0.915543193219397	0.999336306249414
HNRNPU	4.55397326551461	5.13307458879894e-05	0.0527845606724415	0.996950353998626	0.999336306249414
CNST	1.04765813010246	-0.00264292983352661	0.0531141813508806	0.354849826653465	0.999336306249414
ACP1	1.73983636414515	-0.00195440979370767	0.0529820572668931	0.638051141179293	0.999336306249414
TMEM18	0.753981811372785	0.000992444089798764	0.0530264601467818	0.734512112080802	0.999336306249414
TRAPPC12	0.869504957291002	-0.00322308390600008	0.0531438732974732	0.320891566923124	0.999336306249414
ADI1	0.928006487381534	-0.000748970865354838	0.0530208484739064	0.794409427678628	0.999336306249414
RNASEH1	0.563576002961529	-0.00416468118958389	0.0532618967594469	0.150662479286954	0.999336306249414
RPS7	52.1118078094597	-0.00921999350149125	0.0517045733266462	0.547079074784457	0.999336306249414
ITGB1BP1	0.882422071616216	-0.000750862023661341	0.0530213491570993	0.780642811237843	0.999336306249414
IAH1	0.622714809096936	0.00102686630340538	0.0530493297400553	0.705147280456576	0.999336306249414
YWHAQ	2.47206353240598	0.00646614216839283	0.0534765159371935	0.170081067744892	0.999336306249414
