"gene"	"log2FC"	"pval"	"adjp"
"AGO1"	"-0.489060880148798"	"1.46466417198694e-13"	2.83963185592197e-12
"SPEF2"	"0.471332912003134"	"1.49474492377781e-13"	2.88676220414541e-12
"OSM"	"-0.804677982610912"	"1.53319779463704e-13"	2.93834078862835e-12
"ZNF44"	"-0.519217236934548"	"1.53320061141943e-13"	2.93834078862835e-12
"ZNF431"	"-0.381354963270832"	"1.6377932940959e-13"	3.12680994544568e-12
"CSNK2B"	"-0.548368985321004"	"1.70560982260666e-13"	3.24390126717814e-12
"EVI2A"	"-0.354622105445449"	"1.83098883109121e-13"	3.46916898981751e-12
"SNHG8"	"-0.299335445214233"	"1.84028319844702e-13"	3.47362134288e-12
"WDSUB1"	"0.328093805081453"	"2.31012899558882e-13"	4.32781469510685e-12
"NELL2"	"-2.97042581434017"	"2.33487814066346e-13"	4.35785838044725e-12
"PLA2G16"	"0.399247031638983"	"2.52945094512789e-13"	4.66875041606262e-12
"GOLGA8B"	"-0.501254319420307"	"2.51674714273774e-13"	4.66875041606262e-12
"ERN1"	"-0.44627051761755"	"3.00093947444494e-13"	5.51863943057853e-12
"BLOC1S1"	"0.324025630982814"	"3.33421155260906e-13"	6.08676138180676e-12
"ST8SIA6"	"0.549200544039083"	"3.6852844833957e-13"	6.70319744943465e-12
"SMS"	"0.325613735624457"	"3.7785792832217e-13"	6.84799042560686e-12
"VEZF1"	"0.241054766082708"	"3.97217678521972e-13"	7.17286219482637e-12
"SORL1"	"-0.406898847793125"	"4.03213231838788e-13"	7.25493735848064e-12
"KIF20B"	"-0.357050909400889"	"4.17550587883588e-13"	7.45924300212038e-12
"LGR6"	"0.480964421381605"	"4.43302313726744e-13"	7.89109670199706e-12
"CITED2"	"0.295901167442041"	"4.68274300102055e-13"	8.30605691173929e-12
"GZMM"	"0.256439299462052"	"4.89728940437304e-13"	8.65591575995546e-12
"PLEKHF1"	"0.471828848700594"	"5.32919801374957e-13"	9.38614382562512e-12
"CDK9"	"0.248125725072145"	"5.79844580653034e-13"	1.01767810260578e-11
"CD160"	"1.18500014171616"	"5.88536437494865e-13"	1.02932141970256e-11
"LINC02084"	"0.269553444549784"	"5.94401938421911e-13"	1.03595766410676e-11
"BATF"	"0.35916476175851"	"6.2770272487959e-13"	1.0864252698435e-11
"LINC00426"	"-0.551578987448348"	"6.46631790535847e-13"	1.11532835043459e-11
"SOX4"	"-2.27346427463564"	"6.59530129344262e-13"	1.13366656597251e-11
"AC103702.2"	"0.458438661746421"	"6.72744547745891e-13"	1.15242062596745e-11
"BCL9L"	"-0.324842201686976"	"7.24525522491378e-13"	1.23267913724553e-11
"SRSF6"	"-0.425373140228453"	"7.31718735689693e-13"	1.23650578240535e-11
"ZNF836"	"-0.465423515810024"	"7.31718735689693e-13"	1.23650578240535e-11
"CD300A"	"-0.5658911048248"	"7.46316097907511e-13"	1.2569269770146e-11
"RIC3"	"-1.01898752914373"	"7.87948411872047e-13"	1.32103323291839e-11
"AC108134.3"	"-1.15934920322428"	"7.89662008481803e-13"	1.32103323291839e-11
"EDA"	"-4.29066597180066"	"7.93858116733454e-13"	1.32362609996691e-11
"LRRK2"	"-2.31367142550027"	"8.69717446300312e-13"	1.44529125129374e-11
"GNG2"	"0.237307117341454"	"9.97919310383829e-13"	1.65284516243043e-11
"ADGRE5"	"0.220432954189173"	"1.06366523065598e-12"	1.75592524215882e-11
"DAPP1"	"-0.777257805799682"	"1.08473441809575e-12"	1.78481630240623e-11
"SIRT2"	"0.228931067579631"	"1.10621773294769e-12"	1.81419708203421e-11
"LINC01001"	"-1.24173592678073"	"1.15021254016172e-12"	1.87405965012669e-11
"WDR6"	"-0.294518353027271"	"1.22004313392571e-12"	1.9813817389274e-11
"SLC38A2"	"-0.330763178960051"	"1.32577030022435e-12"	2.14611748923048e-11
"PPP1R18"	"0.224048031277039"	"1.34533924410721e-12"	2.16378999968626e-11
"METRN"	"0.397952249672277"	"1.34533924410721e-12"	2.16378999968626e-11
"SSFA2"	"-0.473534068301493"	"1.36519152162475e-12"	2.1848740439337e-11
"IFIT3"	"0.918710524372214"	"1.38380654111467e-12"	2.20439500594127e-11
"MAPK1"	"0.266282897582916"	"1.52724568589017e-12"	2.41749459519703e-11
"HERC3"	"-0.537693169932448"	"1.53470400546466e-12"	2.42163704584676e-11
"NCOA7"	"-0.286923946092033"	"1.56489627429039e-12"	2.46151294465425e-11
"CCR2"	"-1.67941640268563"	"1.63687714494274e-12"	2.56666441348075e-11
"KDM5B"	"-0.48037087457076"	"1.71645493203822e-12"	2.68303361564224e-11
"COQ10A"	"0.333299347522678"	"1.80191407034216e-12"	2.80784242362975e-11
"FOXO1"	"-0.521818560355079"	"1.82835607525212e-12"	2.83739363692989e-11
"MAN2B2"	"0.282210206723931"	"1.87327435404474e-12"	2.8920118268308e-11
"AC007032.1"	"0.96196590757897"	"1.88239068279818e-12"	2.89714406010969e-11
"CTLA4"	"-1.3752654187989"	"1.88833147240237e-12"	2.89737240029345e-11
