"gene"	"log2FC"	"pval"	"adjp"
"SMG5"	"-0.113262848630951"	"1.72881784933396e-05"	2.92839379694157e-05
"DSTN"	"0.148056983340356"	"1.73655749438983e-05"	2.94050798474541e-05
"ABCD3"	"-0.130996577776465"	"1.77575352525901e-05"	3.00586095883099e-05
"UNK"	"-0.120991638770371"	"1.7836932314594e-05"	3.01827927732068e-05
"GPBAR1"	"-1.06861265748225"	"1.80068729974035e-05"	3.04600536804235e-05
"SORL1"	"-0.172419185185313"	"1.80771578728112e-05"	3.05686084110215e-05
"PCED1A"	"-0.104049701824028"	"1.82119451369503e-05"	3.07757262077789e-05
"RIT1"	"-0.133301204271597"	"1.82119451369503e-05"	3.07757262077789e-05
"DGKD"	"-0.120661587721749"	"1.84295981777402e-05"	3.1133012524504e-05
"SH2D2A"	"-0.0913499490963585"	"1.86220752048377e-05"	3.14475422601614e-05
"AC105446.1"	"-0.175200804838041"	"1.88164661425172e-05"	3.17650906665106e-05
"BICDL1"	"-0.516005060162262"	"1.88723590560986e-05"	3.18486977053324e-05
"CD1C"	"-0.961263165109298"	"1.93944683370386e-05"	3.27187624357056e-05
"FOXJ3"	"-0.122690910322327"	"1.94400706728091e-05"	3.2784637055088e-05
"KDM7A"	"0.106580468978281"	"1.96716779704139e-05"	3.31640489410214e-05
"CCNL1"	"-0.0893119752446405"	"1.99353768400634e-05"	3.35972894049856e-05
"EAF2"	"0.1668731627458"	"2.01130276456842e-05"	3.38852692097381e-05
"MMP23B"	"0.172507185832774"	"2.02622479307572e-05"	3.41136870244522e-05
"MBOAT7"	"-0.113244114916418"	"2.02622479307572e-05"	3.41136870244522e-05
"ADPGK"	"-0.115529175244709"	"2.03522764629837e-05"	3.42537304400553e-05
"DUSP28"	"-0.103593989034657"	"2.04125069468452e-05"	3.43435451557752e-05
"LUZP1"	"-0.158184115921643"	"2.05334774524651e-05"	3.45354587146034e-05
"DEF8"	"0.105328915206032"	"2.06856506362478e-05"	3.47797057084072e-05
"DCP1B"	"-0.105494068742918"	"2.08696759185355e-05"	3.50773249141514e-05
"ZNF451"	"-0.110485210585492"	"2.09004979361069e-05"	3.51173297535797e-05
"HNMT"	"-1.20434091235584"	"2.09821486029506e-05"	3.52426821060977e-05
"YPEL1"	"-0.125902309844746"	"2.10863420960058e-05"	3.54058016664052e-05
"ENC1"	"0.089607974179771"	"2.11798530964747e-05"	3.55508809357606e-05
"ALDH1A1"	"-1.25108670293492"	"2.12258216665735e-05"	3.56160885529019e-05
"AGTPBP1"	"-0.0988064570565108"	"2.13365826560594e-05"	3.57899350924243e-05
"ZNF561"	"-0.141579624037582"	"2.14311496944458e-05"	3.59365104832779e-05
"ATP2B1"	"0.131492729543033"	"2.1589648678186e-05"	3.61780310513522e-05
"TXNDC17"	"-0.111468036012525"	"2.20069848802068e-05"	3.68650161991944e-05
"CLASP1"	"-0.12664791659145"	"2.20394037386914e-05"	3.69069626718896e-05
