"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Nhood"	"SpatialFDR"	"finalIdent"	"finalIdent_fraction"
"496"	5.10735994804663	7.67292710039937	16.9644970863679	0.00028230972886055	0.0210778547561424	496	0.0228826247440704	"CD8 Activated"	0.998272884283247
"1392"	3.28043638175788	7.76162715239061	16.804807420815	0.000297782231974824	0.0219366244221454	1392	0.0238027182011948	"CD8 Activated"	0.989884393063584
"5024"	4.64724988902917	7.08109636706022	16.7127136984363	0.000307116807902066	0.0223265837323542	5024	0.024252368021378	"CD8 Activated"	1
"3950"	3.33870946060898	7.85986733533745	16.6408265905996	0.000314621282003517	0.0225750984814212	3950	0.0245157247248817	"CD8 Activated"	0.973474801061008
"4367"	3.58104449876262	7.66834274496798	16.4224410741786	0.00033865083916324	0.0239877677740628	4367	0.0260465208295655	"CD8 Activated"	0.993720565149137
"426"	3.26084166916446	8.02848576423113	16.1514314316624	0.000371242712729563	0.0253961746575067	426	0.0275415168635126	"CD8 Activated"	0.969249692496925
"2018"	3.28118707805914	7.95987321425945	16.1482632168277	0.000371643066591125	0.0253961746575067	2018	0.0275415168635126	"CD8 Activated"	0.958015267175573
"862"	3.61023318165288	7.61637434877592	16.1428829589504	0.000372324008553492	0.0253961746575067	862	0.0275415168635126	"CD8 Activated"	0.998373983739837
"2640"	2.77772447162961	7.32650956901873	15.9564815664161	0.000386265086550106	0.0260257878437724	2640	0.0280067433944884	"CD4 Naive"	0.988326848249027
"4361"	2.91755991418209	8.0369626939153	15.5521053200207	0.000448373533209114	0.0295094948883164	4361	0.0317310573004233	"CD8 Activated"	0.979407979407979
"868"	3.42056802145658	8.28353646170265	15.5985417580221	0.000448651144003362	0.0295094948883164	868	0.0317310573004233	"CD8 Activated"	0.9814453125
"4921"	4.13465085728632	7.83859227723165	15.4331460970729	0.000475047303985182	0.0308780747590369	4921	0.0331855406896615	"CD8 Activated"	0.988904299583911
"5318"	2.94848064017535	7.56229200789674	15.2642501588282	0.000496650584950649	0.0313310516459092	5318	0.0337447142800892	"CD8 Activated"	0.97098976109215
"5088"	3.62948401038209	7.42837558473423	15.2957117618405	0.000498249631409116	0.0313310516459092	5088	0.0337447142800892	"CD8 Activated"	0.992307692307692
"4931"	3.23893865071324	6.94584013312777	15.2912181196015	0.000499028514903169	0.0313310516459092	4931	0.0337447142800892	"CD8 Activated"	0.98936170212766
"4890"	4.06486339693411	7.71962280405407	15.200775517064	0.000514986042671065	0.0319696391658161	4890	0.0344565411716335	"CD8 Activated"	0.99670510708402
"64"	3.64795047752021	8.32169928800698	15.0641314305023	0.00054014315890671	0.0331587883662175	64	0.0357051970312006	"CD8 Activated"	0.992395437262357
"414"	3.32948556093081	8.97337340090446	14.9549045418691	0.000561201223605481	0.0340729314331899	414	0.0366518605423353	"CD8 Activated"	0.986826347305389
"4010"	4.43283178971578	7.37163746517713	14.8385969270984	0.00058459705913849	0.0351075951276104	4010	0.037795452652218	"CD8 Activated"	1
"1856"	2.90870793978121	7.3272108628856	14.6282654092047	0.000621489585571767	0.0368472951233024	1856	0.0395236428863544	"CD8 Activated"	0.880808080808081
"630"	4.02197614234748	7.66929152049122	14.6404385238964	0.000626904206622701	0.0368472951233024	630	0.0395236428863544	"CD8 Activated"	1
"345"	3.61419549913808	7.87203065178081	14.523466587582	0.000653412057168005	0.0370873408677352	345	0.0395236428863544	"CD8 Activated"	1
"1684"	2.76284816546566	6.87862327011168	14.5132204475827	0.000655629357799834	0.0370873408677352	1684	0.0395236428863544	"Mixed"	0.506849315068493
"5524"	2.76310495386084	7.15020709673864	14.4698256756782	0.000656772047619311	0.0370873408677352	5524	0.0395236428863544	"Mixed"	0.664516129032258
