sample	MLH1_expr
tcga_a5_a0r9_01	17.787
tcga_aj_a2qn_01	17.787
tcga_fi_a3pv_01	17.787
tcga_qf_a5yt_01	17.79
tcga_a5_a2k4_01	17.792
tcga_d1_a1nw_01	17.792
tcga_ey_a1gc_01	17.792
tcga_bg_a0ma_01	17.793
tcga_d1_a1nx_01	17.793
tcga_di_a2qt_01	17.795
tcga_aj_a5dv_01	17.796
tcga_ey_a1gi_01	17.8
tcga_b5_a3fb_01	17.803
tcga_sj_a6zj_01	17.803
tcga_h5_a2hr_01	17.804
tcga_bk_a13c_11	17.805
tcga_aj_a3nc_11	17.807
tcga_d1_a102_01	17.812
tcga_fl_a1yv_11	17.812
tcga_bk_a0cb_11	17.817
tcga_b5_a3fd_01	17.818
tcga_ap_a0l8_01	17.82
tcga_bs_a0td_01	17.823
tcga_aj_a2ql_01	17.824
tcga_b5_a11s_01	17.826
tcga_ax_a0iz_11	17.828
tcga_ap_a0ln_01	17.829
tcga_d1_a179_01	17.835
tcga_e6_a8l9_01	17.835
tcga_ax_a2hh_01	17.85
tcga_kj_a3u4_01	17.852
tcga_ax_a1c5_01	17.853
tcga_bg_a0w2_01	17.858
tcga_ax_a06j_01	17.859
tcga_bg_a0ms_01	17.862
tcga_bk_a4zd_11	17.868
tcga_aj_a5dw_01	17.869
tcga_kp_a3vz_01	17.875
tcga_ap_a1e3_01	17.884
tcga_b5_a11h_01	17.892
tcga_pg_a5bc_01	17.896
tcga_d1_a15x_01	17.902
tcga_a5_a0vp_01	17.905
tcga_bs_a0v7_01	17.911
tcga_ey_a72d_01	17.912
tcga_aj_a2ql_11	17.913
tcga_eo_a3l0_01	17.923
tcga_ap_a1dv_01	17.927
tcga_ap_a056_01	17.929
tcga_e6_a1lx_01	17.941
tcga_bg_a0mg_01	17.945
tcga_bk_a139_02	17.952
tcga_d1_a1o8_01	17.957
tcga_e6_a1m0_01	17.963
tcga_b5_a3fh_01	17.964
tcga_b5_a11f_01	17.965
tcga_fl_a1yu_11	17.967
tcga_ax_a2h7_01	17.969
tcga_b5_a0k4_01	17.971
tcga_ax_a1ce_01	17.975
tcga_eo_a2cg_01	17.976
tcga_aj_a3bd_01	17.984
tcga_d1_a175_01	17.985
tcga_a5_a2k2_01	17.986
tcga_d1_a3dh_01	17.986
tcga_a5_a0g1_01	17.991
tcga_df_a2ky_01	17.991
tcga_d1_a1nu_01	17.992
tcga_ax_a05t_01	17.993
tcga_bg_a0ry_01	17.994
tcga_bg_a2ae_01	18.003
tcga_ey_a1g7_01	18.008
tcga_k6_a3wq_01	18.02
tcga_aj_a3nh_11	18.025
tcga_aj_a3ne_01	18.033
tcga_qs_a744_01	18.058
tcga_ey_a1gx_01	18.068
tcga_bk_a6w3_01	18.071
tcga_b5_a11y_01	18.085
tcga_d1_a15v_01	18.085
tcga_b5_a0jy_01	18.09
tcga_ax_a2hc_11	18.1
tcga_ey_a1gh_01	18.109
tcga_bk_a139_01	18.121
tcga_ax_a06d_01	18.131
tcga_aj_a3oj_01	18.145
tcga_ax_a06f_01	18.166
tcga_eo_a3av_01	18.187
tcga_fi_a2ex_01	18.196
tcga_aj_a3qs_01	18.209
tcga_d1_a3jq_01	18.231
tcga_qf_a5ys_01	18.233
tcga_ey_a210_01	18.268
tcga_ax_a0j0_01	18.306
tcga_bs_a0uf_01	18.308
tcga_ax_a3fz_01	18.316
tcga_ey_a1g8_01	18.328
tcga_fi_a2d5_01	18.328
tcga_df_a2ks_01	18.336
tcga_b5_a11x_01	18.341
tcga_a5_a3lo_01	18.354
tcga_b5_a3fa_01	18.371
tcga_b5_a11p_01	18.381
tcga_ap_a059_01	18.383
tcga_fi_a2cx_01	18.387
tcga_a5_a1of_01	18.395
tcga_eo_a3b1_01	18.405
tcga_5b_a90c_01	18.446
tcga_ap_a1e0_01	18.459
tcga_ax_a3fv_01	18.461
tcga_aj_a3tw_01	18.474
tcga_bs_a0uv_01	18.513
tcga_aj_a3el_01	18.545
tcga_eo_a22u_01	18.559
tcga_ax_a2hc_01	18.595
tcga_a5_a1oh_01	18.644
tcga_aj_a3bg_01	18.701
tcga_eo_a3b0_01	18.751
tcga_ey_a1gr_01	18.753
tcga_df_a2ku_01	18.833
tcga_d1_a3dg_01	18.871
